route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,1187,421H,Paris - Bordeaux,,2,,,
FR:Line::16687383-70D2-4ABA-A124-1AB6A45C0E60:,1187,533B,Bordeaux - Lille SEA,,2,,,
FR:Line::1f093b3e-6e5a-4365-9cd0-e5764b2c7767:,1187,L51,51. Bordeaux - Dax - Bayonne - Hendaye,,2,,3E844C,FFFFFF
FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:,1187,421B,Paris - Tarbes TGV,,2,,,
FR:Line::2dfdfc62-b7cb-416a-80b5-7f9dab017f4e:,1187,433I,Paris - Hendaye,,2,,,
FR:Line::338660B1-35FD-4306-969D-C99969913369:,1187,433E,Paris - Toulouse SEA,,2,,,
FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,1187,180A,Bordeaux - Marseille,,2,,,
FR:Line::3ebed947-d25a-4cb1-ad23-a6db52a6f082:,1187,L42,42. Le Verdon - Macau - Bordeaux / Pessac,,2,,3E844C,FFFFFF
FR:Line::40f9734e-088d-42d9-9e13-c91880169554:,1187,F41,41.  Bordeaux - Arcachon,,2,,7468AC,FFFFFF
FR:Line::4887f9fc-de66-44ff-a5fe-199a0de1ca9e:,1187,L15,15. La Rochelle - Rochefort - Saintes - Bordeaux,,2,,3E844C,FFFFFF
FR:Line::4f784834-828d-4bbf-a65d-d21599ce8dc2:,1187,L31,31. Limoges - Périgueux - Bordeaux,,2,,3E844C,FFFFFF
FR:Line::60a02f18-2eca-4314-bb8f-6933a6768543:,1187,D45,45.  Bordeaux - Morcenx - Mont-de-Marsan,,2,,C31632,FFFFFF
FR:Line::6660e3b5-b253-43c4-9e58-ece4d79481bf:,1187,L45,45.  Bordeaux - Morcenx - Mont-de-Marsan,,2,,3E844C,FFFFFF
FR:Line::6831fb72-94d3-417c-915f-b9656db78b1a:,1187,F41+,41+. Libourne - Bordeaux - Arcachon,,2,,7468AC,FFFFFF
FR:Line::6973a1d6-1ab5-447c-b47e-d20af934f64d:,1187,L13,13. Angoulême - Bordeaux,,2,,3E844C,FFFFFF
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,1187,061C,Est - Bordeaux TGV,,2,,,
FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,1187,591A,Nantes - Bordeaux,,2,,,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,1187,421A,Paris - Hendaye TGV,,2,,,
FR:Line::9227d255-a1c8-4de7-b810-923df421bfc7:,1187,D52,52. Bordeaux - Dax - Pau - Tarbes,,2,,C31632,FFFFFF
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,1187,421D,Paris - Bordeaux - Arcachon TGV,,2,,,
FR:Line::9805a3d4-04d2-4122-9ac6-677255172215:,1187,D33,33. Bordeaux - Bergerac - Sarlat,,2,,C31632,FFFFFF
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,1187,421C,Paris - Toulouse TGV,,2,,,
FR:Line::F1B5E26F-967E-48D9-ABA8-A049ADD85807:,1187,433B,Paris - Bordeaux SEA,,2,,,
FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:,1187,003A,Nord Aquitaine TGV,,2,,,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,1187,D44,44. Bordeaux - Langon - Marmande - Agen,,2,,C31632,FFFFFF
FR:Line::aae3d4d2-051a-46ec-9044-c2b69b635c88:,1187,D51,51. Bordeaux - Dax - Bayonne - Hendaye,,2,,C31632,FFFFFF
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,1187,L52,52. Bordeaux - Dax - Pau - Tarbes,,2,,3E844C,FFFFFF
FR:Line::bd59db9a-d65f-4f0b-8328-c4db48d5755a:,1187,434B,Paris - Bordeaux,,2,,,
FR:Line::c89f00c3-5bb6-4806-b9a0-44724544e64b:,1187,F43,43. Saint-Mariens - Bordeaux,,2,,7468AC,FFFFFF
FR:Line::daa8bf5f-7be6-4fbc-ad6a-0d2c30d39013:,1187,F42,42. Le Verdon - Macau - Bordeaux / Pessac,,2,,7468AC,FFFFFF
FR:Line::dac9d85e-6b33-4d12-ac55-f9c9a330c1a0:,1187,L16,16. Royan - Saintes - Angoulême,,2,,3E844C,FFFFFF
FR:Line::de0cc979-c473-4b44-afa3-48079e6337c5:,1187,L33,33. Bordeaux - Bergerac - Sarlat,,2,,3E844C,FFFFFF
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,1187,F44,44. Bordeaux - Langon - Marmande - Agen,,2,,7468AC,FFFFFF
FR:Line::e27d87a9-efd7-4218-bf71-50601354df88:,1187,D15,15. La Rochelle - Rochefort - Saintes - Bordeaux,,2,,C31632,FFFFFF
FR:Line::e3a8a728-7448-4d91-ab56-5d415d6969f2:,1187,L44,44. Bordeaux - Langon - Marmande - Agen,,2,,3E844C,FFFFFF
FR:Line::ec925e4f-137a-4761-914a-13d24e9ace87:,1187,D31,31. Limoges - Périgueux - Bordeaux,,2,,C31632,FFFFFF
FR:Line::fe22a529-93ed-4301-8a97-e1c5e11abfa1:,1187,L32,32. Ussel - Brive - Périgueux - Bordeaux,,2,,3E844C,FFFFFF
