trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12190F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:1429:20260705,08:54:00,08:54:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12192F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87212027:87581009:11:2103:20260704,21:03:00,21:03:00,StopPoint:OCETGV INOUI-87581009,10,,1,0,
OCESN12194F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87212027:87581009:10:1439:20260829,14:39:00,14:39:00,StopPoint:OCETGV INOUI-87581009,9,,1,0,
OCESN12194F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87212027:87581009:10:1439:20260822,14:39:00,14:39:00,StopPoint:OCETGV INOUI-87581009,9,,1,0,
OCESN12199F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:2129:20260822,15:58:00,15:58:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12199F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:2129:20260829,15:58:00,15:58:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1103:20260724,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1104:20260513,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1103:20260831,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1103:20260703,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1103:20260713,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1056:20260620,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1055:20260523,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1105:20260502,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1105:20260508,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1047:20260509,08:35:00,08:35:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1136:20260514,08:36:00,08:36:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1105:20260619,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1103:20260822,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1103:20260725,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1103:20260829,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1103:20260828,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12251F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:917:20260512,09:17:00,09:17:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:917:20260513,09:17:00,09:17:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:914:20260824,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:914:20260703,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:914:20260831,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12253F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2047:20260628,20:47:00,20:47:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12253F1187_F:OUI:OCESN-87391003-87677005:87391003:87677005:7:2323:20260405,20:47:00,20:53:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12253F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2050:20260517,20:50:00,20:50:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1258:20260513,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1258:20260506,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1258:20260510,10:39:00,10:39:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1259:20260525,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1255:20260831,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1409:20260515,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1256:20260514,09:55:00,09:55:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1258:20260425,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1255:20260828,10:47:00,10:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12255F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260512,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
