stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87171587,Germaine,,49.1277630,4.02289800,,,1,
StopPoint:OCECar TER-87171587,Germaine,,49.1277630,4.02289800,,,0,StopArea:OCE87171587
StopPoint:OCETrain TER-87171587,Germaine,,49.1277630,4.02289800,,,0,StopArea:OCE87171587
StopArea:OCE87278259,Mérignac Arlac,,44.8265600,-0.6261400,,,1,
StopPoint:OCECar TER-87278259,Mérignac Arlac,,44.8265600,-0.6261400,,,0,StopArea:OCE87278259
StopPoint:OCETrain TER-87278259,Mérignac Arlac,,44.8265600,-0.6261400,,,0,StopArea:OCE87278259
StopArea:OCE87574194,Mer,,47.7058940,1.50636300,,,1,
StopPoint:OCECar TER-87574194,Mer,,47.7058940,1.50636300,,,0,StopArea:OCE87574194
StopPoint:OCETrain TER-87574194,Mer,,47.7058940,1.50636300,,,0,StopArea:OCE87574194
StopArea:OCE87581538,Caudéran-Mérignac,,44.8426220,-0.6277450,,,1,
StopPoint:OCECar TER-87581538,Caudéran-Mérignac,,44.8426220,-0.6277450,,,0,StopArea:OCE87581538
StopPoint:OCETrain TER-87581538,Caudéran-Mérignac,,44.8426220,-0.6277450,,,0,StopArea:OCE87581538
StopArea:OCE87581595,Cenon,,44.8563470,-0.5336490,,,1,
StopPoint:OCECar TER-87581595,Cenon,,44.8563470,-0.5336490,,,0,StopArea:OCE87581595
StopPoint:OCETrain TER-87581595,Cenon,,44.8563470,-0.5336490,,,0,StopArea:OCE87581595
StopArea:OCE87581728,Blanquefort,,44.9175850,-0.6238900,,,1,
StopPoint:OCECar TER-87581728,Blanquefort,,44.9175850,-0.6238900,,,0,StopArea:OCE87581728
StopPoint:OCETrain TER-87581728,Blanquefort,,44.9175850,-0.6238900,,,0,StopArea:OCE87581728
StopArea:OCE87581736,Bruges,,44.8870120,-0.6094450,,,1,
StopPoint:OCECar TER-87581736,Bruges,,44.8870120,-0.6094450,,,0,StopArea:OCE87581736
StopPoint:OCETrain TER-87581736,Bruges,,44.8870120,-0.6094450,,,0,StopArea:OCE87581736
StopArea:OCE87581751,Pessac,,44.8046210,-0.6317840,,,1,
StopPoint:OCECar TER-87581751,Pessac,,44.8046210,-0.6317840,,,0,StopArea:OCE87581751
StopPoint:OCETrain TER-87581751,Pessac,,44.8046210,-0.6317840,,,0,StopArea:OCE87581751
StopArea:OCE87581793,Pessac-Alouette,,44.7934620,-0.6594600,,,1,
StopPoint:OCECar TER-87581793,Pessac-Alouette,,44.7934620,-0.6594600,,,0,StopArea:OCE87581793
StopPoint:OCETrain TER-87581793,Pessac-Alouette,,44.7934620,-0.6594600,,,0,StopArea:OCE87581793
StopArea:OCE87581801,Bègles,,44.7993190,-0.5553570,,,1,
StopPoint:OCETrain TER-87581801,Bègles,,44.7993190,-0.5553570,,,0,StopArea:OCE87581801
StopArea:OCE87581835,Villenave-d'Ornon,,44.7683430,-0.5472570,,,1,
StopPoint:OCECar TER-87581835,Villenave-d'Ornon,,44.7683430,-0.5472570,,,0,StopArea:OCE87581835
StopPoint:OCETrain TER-87581835,Villenave-d'Ornon,,44.7683430,-0.5472570,,,0,StopArea:OCE87581835
StopArea:OCE87581850,Bassens,,44.9013070,-0.5222820,,,1,
StopPoint:OCECar TER-87581850,Bassens,,44.9013070,-0.5222820,,,0,StopArea:OCE87581850
StopPoint:OCETrain TER-87581850,Bassens,,44.9013070,-0.5222820,,,0,StopArea:OCE87581850
StopArea:OCE87683003,Sens,,48.1978560,3.26783300,,,1,
StopPoint:OCETrain TER-87683003,Sens,,48.1978560,3.26783300,,,0,StopArea:OCE87683003
StopArea:OCE87738096,Le Bouscat Sainte-Germaine,,44.8709270,-0.6140490,,,1,
StopPoint:OCECar TER-87738096,Le Bouscat Sainte-Germaine,,44.8709270,-0.6140490,,,0,StopArea:OCE87738096
StopPoint:OCETrain TER-87738096,Le Bouscat Sainte-Germaine,,44.8709270,-0.6140490,,,0,StopArea:OCE87738096
StopArea:OCE87748350,Talence-Médoquine,,44.8158800,-0.6025960,,,1,
StopPoint:OCECar TER-87748350,Talence-Médoquine,,44.8158800,-0.6025960,,,0,StopArea:OCE87748350
StopPoint:OCETrain TER-87748350,Talence-Médoquine,,44.8158800,-0.6025960,,,0,StopArea:OCE87748350
