route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,59,OCESN12190F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:1429:20260705,12190,0.0,393,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,138,OCESN12192F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87212027:87581009:11:2103:20260704,12192,1.0,394,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,284,OCESN12194F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87212027:87581009:10:1439:20260829,12194,1.0,395,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,285,OCESN12194F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87212027:87581009:10:1439:20260822,12194,1.0,396,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,285,OCESN12199F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:2129:20260822,12199,0.0,397,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,286,OCESN12199F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:2129:20260829,12199,0.0,398,
OCESN-87581009-87391003,339,OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1103:20260724,12250,1.0,471,
OCESN-87581009-87391003,340,OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1104:20260513,12250,1.0,472,
OCESN-87581009-87391003,318,OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1103:20260731,12250,1.0,473,
OCESN-87581009-87391003,317,OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1103:20260703,12250,1.0,474,
OCESN-87581009-87391003,341,OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1103:20260828,12250,1.0,475,
OCESN-87581009-87391003,342,OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1103:20260713,12250,1.0,476,
OCESN-87581009-87391003,343,OCESN12250F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1056:20260620,12250,1.0,477,
