id,lat,lon,name,capacity,type,source
266650018,44.8401796,-0.5826542,Gambetta,438.0,node,osm
277064779,44.7999242,-0.642429,Parking_277064779,,node,osm
277064781,44.7996684,-0.6417595,Parking_277064781,,node,osm
280933460,44.8429406,-0.5707251,Bourse / Jean Jaurès,968.0,node,osm
281032310,44.8496979,-0.5706424,Cité Mondiale,847.0,node,osm
281070637,44.8353526,-0.564544,Salinières,407.0,node,osm
286771058,44.8108914,-0.5467883,Parking_286771058,,node,osm
288852900,44.8434089,-0.5589918,Ups Carrefour Bastide - Urbis Park,158.0,node,osm
289137120,44.8419577,-0.5458926,Parking_289137120,,node,osm
289140331,44.8463637,-0.5442017,Parking_289140331,,node,osm
292668130,44.8816837,-0.5211051,Parking_292668130,,node,osm
301532046,44.7954278,-0.6657465,Parking_301532046,,node,osm
301559779,44.8035115,-0.6970927,Parking Zoo de Pessac,,node,osm
301763222,44.885001,-0.6934193,Parking_301763222,,node,osm
302824865,44.7967217,-0.7155475,Parking_302824865,,node,osm
302870917,44.7921519,-0.6264429,Parking_302870917,,node,osm
302872067,44.7916889,-0.628932,Parking_302872067,,node,osm
302872522,44.7890636,-0.6305542,Parking_302872522,,node,osm
307783270,44.8747289,-0.5288989,Parking_307783270,,node,osm
308465809,44.9110484,-0.7394621,Parking_308465809,,node,osm
308732424,44.84263,-0.7799255,Écoles,,node,osm
308732608,44.8433907,-0.7775566,Marne,,node,osm
308733687,44.8418145,-0.7758657,Bruyères,,node,osm
308733908,44.8418023,-0.7752649,Parking_308733908,,node,osm
311086554,44.8699727,-0.5146994,Parking_311086554,,node,osm
311086561,44.8700613,-0.5133005,Parking_311086561,,node,osm
345202157,44.9037549,-0.6688865,Place Castelnuovo-Berardenga,,node,osm
345203283,44.9045209,-0.6691268,Parking_345203283,,node,osm
355154096,44.7917976,-0.6145482,Parking_355154096,,node,osm
355154559,44.7902139,-0.620994,Parking_355154559,,node,osm
355154566,44.7911398,-0.6214919,Parking_355154566,,node,osm
