step,action_pred,action_opt,reward,TP,FP,FN,TN
1,1,0,-0.5245836973190308,0,1,0,0
2,0,1,-0.2820959985256195,0,1,1,0
3,1,1,0.5497874617576599,1,1,1,0
4,0,1,-0.9614524245262146,1,1,2,0
7,0,0,0.002920116763561964,1,1,2,1
8,0,1,-0.6018698811531067,1,1,3,1
9,1,1,0.591846227645874,2,1,3,1
10,1,1,0.6068092584609985,3,1,3,1
11,1,1,0.5006214380264282,4,1,3,1
12,1,0,-0.7766278982162476,4,2,3,1
13,0,1,-0.513846755027771,4,2,4,1
14,0,1,-0.5974813103675842,4,2,5,1
16,1,0,-0.5305158495903015,4,3,5,1
17,1,1,0.30049052834510803,5,3,5,1
18,0,0,0.21447506546974182,5,3,5,2
19,1,0,-0.5639310479164124,5,4,5,2
20,0,1,-0.6623378396034241,5,4,6,2
22,0,0,0.20923517644405365,5,4,6,3
23,0,1,-0.524823784828186,5,4,7,3
24,1,1,0.25352635979652405,6,4,7,3
25,0,0,0.32669177651405334,6,4,7,4
26,1,1,0.539254367351532,7,4,7,4
27,1,1,0.4420481324195862,8,4,7,4
28,0,1,-0.3608854413032532,8,4,8,4
29,1,0,-0.6651500463485718,8,5,8,4
30,1,0,-0.13726907968521118,8,6,8,4
31,0,0,0.5840674638748169,8,6,8,5
32,0,0,0.43425247073173523,8,6,8,6
33,0,0,0.6210111975669861,8,6,8,7
35,0,1,-0.34838059544563293,8,6,9,7
36,0,0,0.32459747791290283,8,6,9,8
37,1,0,-1.0424855947494507,8,7,9,8
38,1,0,-0.7248496413230896,8,8,9,8
39,1,0,-0.10325638204813004,8,9,9,8
40,1,0,-0.6872726082801819,8,10,9,8
41,1,0,-0.8135839700698853,8,11,9,8
42,0,0,0.23918116092681885,8,11,9,9
43,1,0,-0.2342820167541504,8,12,9,9
44,1,1,0.5228775143623352,9,12,9,9
45,1,1,0.3996480107307434,10,12,9,9
46,1,1,0.4570642411708832,11,12,9,9
47,1,0,-0.29875001311302185,11,13,9,9
48,0,0,0.10601573437452316,11,13,9,10
49,0,0,0.5502416491508484,11,13,9,11
50,0,0,0.1656406670808792,11,13,9,12
51,1,1,0.23136092722415924,12,13,9,12
52,1,1,0.2517215609550476,13,13,9,12
53,0,1,-0.6613869667053223,13,13,10,12
54,0,0,0.24765025079250336,13,13,10,13
56,0,0,0.6287745237350464,13,13,10,14
57,0,1,-0.5997757911682129,13,13,11,14
58,0,0,0.4469446837902069,13,13,11,15
59,1,1,0.44040364027023315,14,13,11,15
60,0,1,-0.4076167047023773,14,13,12,15
61,0,0,0.058448851108551025,14,13,12,16
62,1,1,0.032671064138412476,15,13,12,16
63,0,0,0.5998970866203308,15,13,12,17
64,1,0,-0.061558231711387634,15,14,12,17
65,1,0,-0.6900507807731628,15,15,12,17
66,0,0,0.33588674664497375,15,15,12,18
67,1,1,0.4996609091758728,16,15,12,18
68,1,1,0.42237982153892517,17,15,12,18
69,0,1,-0.38568058609962463,17,15,13,18
70,0,1,-0.3920476734638214,17,15,14,18
71,0,1,-0.8008139133453369,17,15,15,18
72,1,0,-0.5775435566902161,17,16,15,18
73,0,0,0.9291408061981201,17,16,15,19
74,1,1,0.3850642442703247,18,16,15,19
75,1,0,-0.7724268436431885,18,17,15,19
76,1,1,0.6228417158126831,19,17,15,19
77,1,0,-0.7967849969863892,19,18,15,19
78,1,0,-0.09220701456069946,19,19,15,19
79,0,1,-0.7562025785446167,19,19,16,19
80,1,1,0.4396388530731201,20,19,16,19
81,0,0,0.17746888101100922,20,19,16,20
82,1,1,0.5004269480705261,21,19,16,20
83,1,0,-0.6848355531692505,21,20,16,20
84,1,0,-0.018488319590687752,21,21,16,20
85,1,1,0.5872802138328552,22,21,16,20
86,1,1,0.4576728343963623,23,21,16,20
87,1,0,-0.5716596841812134,23,22,16,20
89,0,1,-0.43346256017684937,23,22,17,20
90,0,1,-0.6688185930252075,23,22,18,20
91,0,1,-0.5255852341651917,23,22,19,20
92,1,0,-0.025951305404305458,23,23,19,20
93,0,0,0.5270691514015198,23,23,19,21
94,0,1,-0.6838340163230896,23,23,20,21
95,0,1,-0.6437916159629822,23,23,21,21
96,0,1,-0.4099124073982239,23,23,22,21
97,1,0,-0.1264430433511734,23,24,22,21
98,0,0,-0.040258944034576416,23,24,22,22
99,0,0,0.552375316619873,23,24,22,23
100,0,0,0.553713858127594,23,24,22,24
101,1,1,0.2845136821269989,24,24,22,24
102,1,0,-0.4157384932041168,24,25,22,24
103,1,0,-1.0398708581924438,24,26,22,24
104,0,0,0.4187615215778351,24,26,22,25
105,0,1,-0.45311349630355835,24,26,23,25
106,0,0,0.6349775195121765,24,26,23,26
107,0,1,-0.4248468279838562,24,26,24,26
108,1,1,0.6782200336456299,25,26,24,26
109,0,1,-0.7506219744682312,25,26,25,26
111,1,0,-0.46260228753089905,25,27,25,26
112,1,1,0.4331669509410858,26,27,25,26
113,0,0,0.5727048516273499,26,27,25,27
114,0,1,-0.6448115706443787,26,27,26,27
115,1,0,-0.5384197235107422,26,28,26,27
117,0,1,-0.7263922691345215,26,28,27,27
118,1,0,-0.7857537269592285,26,29,27,27
120,1,0,-0.0344388522207737,26,30,27,27
121,0,0,-0.012293340638279915,26,30,27,28
122,0,0,0.5834604501724243,26,30,27,29
123,1,0,-0.6822993159294128,26,31,27,29
124,1,0,-0.23657889664173126,26,32,27,29
125,1,1,0.49577435851097107,27,32,27,29
126,1,1,0.6362217664718628,28,32,27,29
127,1,1,0.4799906611442566,29,32,27,29
128,0,0,0.49596771597862244,29,32,27,30
129,1,0,-0.39466530084609985,29,33,27,30
131,1,1,0.5672264695167542,30,33,27,30
132,0,1,-0.7785139083862305,30,33,28,30
133,1,0,-0.31518393754959106,30,34,28,30
134,1,0,-0.27774208784103394,30,35,28,30
135,1,1,0.6495217084884644,31,35,28,30
136,1,1,0.6517466306686401,32,35,28,30
137,0,0,0.04860709235072136,32,35,28,31
138,0,0,0.03634568303823471,32,35,28,32
139,0,0,0.14738890528678894,32,35,28,33
140,0,1,-0.7419167757034302,32,35,29,33
141,0,1,-0.5144228935241699,32,35,30,33
142,0,0,0.6627979874610901,32,35,30,34
143,0,1,-0.721918523311615,32,35,31,34
144,0,0,0.5799024701118469,32,35,31,35
145,1,1,0.6977767944335938,33,35,31,35
146,1,1,0.5880030393600464,34,35,31,35
147,0,0,0.19294945895671844,34,35,31,36
149,0,1,-0.5331102609634399,34,35,32,36
150,0,1,-0.7257277369499207,34,35,33,36
151,0,0,0.9185150265693665,34,35,33,37
152,0,0,-0.09965597093105316,34,35,33,38
153,1,1,0.5529871582984924,35,35,33,38
154,0,0,0.1189122349023819,35,35,33,39
155,0,1,-0.7571192383766174,35,35,34,39
156,1,1,0.735442578792572,36,35,34,39
157,1,1,0.6094688773155212,37,35,34,39
158,1,0,-0.484261691570282,37,36,34,39
159,0,0,-0.020186003297567368,37,36,34,40
160,0,0,0.11930464953184128,37,36,34,41
161,0,0,0.12487810105085373,37,36,34,42
162,0,0,0.9336519837379456,37,36,34,43
163,1,1,0.6430351138114929,38,36,34,43
164,1,0,-1.0348981618881226,38,37,34,43
166,0,0,0.06309400498867035,38,37,34,44
167,1,0,-0.07490324974060059,38,38,34,44
168,0,0,0.01846848987042904,38,38,34,45
169,1,1,0.7040425539016724,39,38,34,45
170,0,1,-0.8097481727600098,39,38,35,45
171,1,0,-0.41047966480255127,39,39,35,45
172,0,0,0.211509108543396,39,39,35,46
173,1,1,0.6870744824409485,40,39,35,46
174,0,0,0.5151770114898682,40,39,35,47
175,1,0,-0.7346593141555786,40,40,35,47
176,0,1,-0.7508650422096252,40,40,36,47
177,1,1,0.6297427415847778,41,40,36,47
178,0,1,-0.7172273993492126,41,40,37,47
179,1,1,0.5476970672607422,42,40,37,47
180,0,1,-0.8478718996047974,42,40,38,47
181,0,1,-0.11962965875864029,42,40,39,47
182,1,0,-1.0427128076553345,42,41,39,47
183,0,0,0.5298299789428711,42,41,39,48
184,0,1,-0.8057452440261841,42,41,40,48
185,0,1,-0.7225168347358704,42,41,41,48
186,0,1,-0.7004128694534302,42,41,42,48
187,0,0,0.594624936580658,42,41,42,49
188,1,0,-0.1802760511636734,42,42,42,49
189,1,0,-0.061079107224941254,42,43,42,49
190,1,1,0.6569693684577942,43,43,42,49
191,1,1,0.545608639717102,44,43,42,49
192,0,1,-0.8000190258026123,44,43,43,49
193,0,0,0.020927315577864647,44,43,43,50
195,0,0,0.0448053777217865,44,43,43,51
197,0,0,0.49492383003234863,44,43,43,52
198,1,1,0.5180614590644836,45,43,43,52
199,0,0,-0.046869564801454544,45,43,43,53
200,0,0,0.19615037739276886,45,43,43,54
201,0,0,0.4129996597766876,45,43,43,55
202,1,0,-0.5904558897018433,45,44,43,55
203,0,0,0.5370165109634399,45,44,43,56
204,0,1,-0.7437554597854614,45,44,44,56
205,1,1,0.38809648156166077,46,44,44,56
206,1,1,0.3845726251602173,47,44,44,56
207,1,1,0.5977044105529785,48,44,44,56
208,1,1,0.5423169136047363,49,44,44,56
209,1,0,-0.11073430627584457,49,45,44,56
210,0,0,-0.060981184244155884,49,45,44,57
211,0,0,-0.06920050084590912,49,45,44,58
212,0,0,0.08254256844520569,49,45,44,59
213,0,1,-0.48601165413856506,49,45,45,59
