parking_id,timestamp,nb_libre,nb_total,ouvert
246,2026-04-19T20:52:36.238826,327,379,1
464,2026-04-19T20:52:36.238826,0,0,1
593,2026-04-19T20:52:36.238826,267,341,1
624,2026-04-19T20:52:36.238826,238,250,1
643,2026-04-19T20:52:36.238826,867,930,1
213,2026-04-19T20:52:36.238826,151,400,1
214,2026-04-19T20:52:36.238826,201,206,1
220,2026-04-19T20:52:36.238826,1014,1230,1
222,2026-04-19T20:52:36.238826,191,438,1
223,2026-04-19T20:52:36.238826,0,270,1
224,2026-04-19T20:52:36.238826,225,338,1
252,2026-04-19T20:52:36.238826,0,0,1
253,2026-04-19T20:52:36.238826,0,767,1
254,2026-04-19T20:52:36.238826,0,0,1
256,2026-04-19T20:52:36.238826,352,366,1
259,2026-04-19T20:52:36.238826,57,57,1
263,2026-04-19T20:52:36.238826,148,151,1
270,2026-04-19T20:52:36.238826,382,396,1
272,2026-04-19T20:52:36.238826,0,0,1
278,2026-04-19T20:52:36.238826,148,148,1
280,2026-04-19T20:52:36.238826,0,0,1
273,2026-04-19T20:52:36.238826,216,220,1
229,2026-04-19T20:52:36.238826,307,842,1
230,2026-04-19T20:52:36.238826,314,410,1
232,2026-04-19T20:52:36.238826,0,0,1
243,2026-04-19T20:52:36.238826,0,0,1
218,2026-04-19T20:52:36.238826,171,399,1
773,2026-04-19T20:52:36.238826,177,300,1
783,2026-04-19T20:52:36.238826,46,46,1
266,2026-04-19T20:52:36.238826,200,285,1
1983,2026-04-19T20:52:36.238826,102,103,1
1663,2026-04-19T20:52:36.238826,0,0,1
2123,2026-04-19T20:52:36.238826,0,0,1
244,2026-04-19T20:52:36.238826,204,211,1
248,2026-04-19T20:52:36.238826,0,0,1
255,2026-04-19T20:52:36.238826,193,200,1
211,2026-04-19T20:52:36.238826,238,242,1
212,2026-04-19T20:52:36.238826,193,193,0
225,2026-04-19T20:52:36.238826,188,361,1
226,2026-04-19T20:52:36.238826,328,415,1
251,2026-04-19T20:52:36.238826,0,0,1
261,2026-04-19T20:52:36.238826,962,962,1
262,2026-04-19T20:52:36.238826,201,204,1
264,2026-04-19T20:52:36.238826,140,149,1
265,2026-04-19T20:52:36.238826,575,600,1
267,2026-04-19T20:52:36.238826,0,0,1
274,2026-04-19T20:52:36.238826,0,0,1
277,2026-04-19T20:52:36.238826,207,218,1
231,2026-04-19T20:52:36.238826,431,550,1
233,2026-04-19T20:52:36.238826,236,415,1
235,2026-04-19T20:52:36.238826,250,279,1
239,2026-04-19T20:52:36.238826,387,566,1
242,2026-04-19T20:52:36.238826,0,0,1
743,2026-04-19T20:52:36.238826,142,274,1
2003,2026-04-19T20:52:36.238826,0,0,1
2143,2026-04-19T20:52:36.238826,0,0,0
2113,2026-04-19T20:52:36.238826,0,0,1
245,2026-04-19T20:52:36.238826,397,540,1
247,2026-04-19T20:52:36.238826,0,323,1
503,2026-04-19T20:52:36.238826,0,600,1
603,2026-04-19T20:52:36.238826,0,0,1
623,2026-04-19T20:52:36.238826,620,620,1
215,2026-04-19T20:52:36.238826,272,634,1
216,2026-04-19T20:52:36.238826,234,466,1
217,2026-04-19T20:52:36.238826,613,950,1
219,2026-04-19T20:52:36.238826,70,70,0
221,2026-04-19T20:52:36.238826,218,399,1
227,2026-04-19T20:52:36.238826,1025,1300,1
228,2026-04-19T20:52:36.238826,83,400,1
250,2026-04-19T20:52:36.238826,0,0,1
257,2026-04-19T20:52:36.238826,59,137,1
258,2026-04-19T20:52:36.238826,29,80,1
260,2026-04-19T20:52:36.238826,52,52,1
268,2026-04-19T20:52:36.238826,0,0,1
269,2026-04-19T20:52:36.238826,392,393,0
271,2026-04-19T20:52:36.238826,0,0,1
275,2026-04-19T20:52:36.238826,332,400,1
276,2026-04-19T20:52:36.238826,168,168,0
279,2026-04-19T20:52:36.238826,590,590,1
321,2026-04-19T20:52:36.238826,143,146,1
331,2026-04-19T20:52:36.238826,174,225,1
333,2026-04-19T20:52:36.238826,0,0,1
451,2026-04-19T20:52:36.238826,397,399,1
450,2026-04-19T20:52:36.238826,0,0,1
234,2026-04-19T20:52:36.238826,61,120,1
237,2026-04-19T20:52:36.238826,0,160,1
238,2026-04-19T20:52:36.238826,29,92,1
240,2026-04-19T20:52:36.238826,231,234,1
241,2026-04-19T20:52:36.238826,0,0,1
723,2026-04-19T20:52:36.238826,75,105,1
663,2026-04-19T20:52:36.238826,234,250,1
1613,2026-04-19T20:52:36.238826,0,0,1
1575,2026-04-19T20:52:36.238826,0,103,1
1583,2026-04-19T20:52:36.238826,342,639,1
2053,2026-04-19T20:52:36.238826,0,0,1
1773,2026-04-19T20:52:36.238826,288,400,1
1856,2026-04-19T20:52:36.238826,0,0,1
1753,2026-04-19T20:52:36.238826,115,396,1
246,2026-04-19T20:52:40.763931,327,379,1
464,2026-04-19T20:52:40.763931,0,0,1
593,2026-04-19T20:52:40.763931,267,341,1
624,2026-04-19T20:52:40.763931,238,250,1
643,2026-04-19T20:52:40.763931,867,930,1
213,2026-04-19T20:52:40.763931,151,400,1
214,2026-04-19T20:52:40.763931,201,206,1
220,2026-04-19T20:52:40.763931,1014,1230,1
222,2026-04-19T20:52:40.763931,191,438,1
223,2026-04-19T20:52:40.763931,0,270,1
224,2026-04-19T20:52:40.763931,225,338,1
252,2026-04-19T20:52:40.763931,0,0,1
253,2026-04-19T20:52:40.763931,0,767,1
254,2026-04-19T20:52:40.763931,0,0,1
256,2026-04-19T20:52:40.763931,352,366,1
259,2026-04-19T20:52:40.763931,57,57,1
263,2026-04-19T20:52:40.763931,148,151,1
270,2026-04-19T20:52:40.763931,382,396,1
272,2026-04-19T20:52:40.763931,0,0,1
278,2026-04-19T20:52:40.763931,148,148,1
280,2026-04-19T20:52:40.763931,0,0,1
273,2026-04-19T20:52:40.763931,216,220,1
229,2026-04-19T20:52:40.763931,307,842,1
230,2026-04-19T20:52:40.763931,314,410,1
232,2026-04-19T20:52:40.763931,0,0,1
243,2026-04-19T20:52:40.763931,0,0,1
218,2026-04-19T20:52:40.763931,171,399,1
773,2026-04-19T20:52:40.763931,177,300,1
783,2026-04-19T20:52:40.763931,46,46,1
266,2026-04-19T20:52:40.763931,200,285,1
1983,2026-04-19T20:52:40.763931,102,103,1
1663,2026-04-19T20:52:40.763931,0,0,1
