origin_id,origin_name,destination_id,destination_name,number_of_departures,first_departure,last_departure,average_interval_minutes
StopPoint:OCECar TER-87278259,Mérignac Arlac,StopPoint:OCECar TER-87581181,Ludon,4,10:25:00,14:25:00,80.0
StopPoint:OCECar TER-87278259,Mérignac Arlac,StopPoint:OCECar TER-87581199,Macau,4,10:25:00,14:25:00,80.0
StopPoint:OCECar TER-87278259,Mérignac Arlac,StopPoint:OCECar TER-87581538,Caudéran-Mérignac,4,10:25:00,14:25:00,80.0
StopPoint:OCECar TER-87278259,Mérignac Arlac,StopPoint:OCECar TER-87581710,Parempuyre,4,10:25:00,14:25:00,80.0
StopPoint:OCECar TER-87278259,Mérignac Arlac,StopPoint:OCECar TER-87581728,Blanquefort,4,10:25:00,14:25:00,80.0
StopPoint:OCECar TER-87278259,Mérignac Arlac,StopPoint:OCECar TER-87581736,Bruges,4,10:25:00,14:25:00,80.0
StopPoint:OCECar TER-87278259,Mérignac Arlac,StopPoint:OCECar TER-87738096,Le Bouscat Sainte-Germaine,4,10:25:00,14:25:00,80.0
StopPoint:OCECar TER-87581181,Ludon,StopPoint:OCECar TER-87278259,Mérignac Arlac,4,11:38:00,15:38:00,80.0
StopPoint:OCECar TER-87581181,Ludon,StopPoint:OCECar TER-87581199,Macau,4,11:22:00,15:22:00,80.0
StopPoint:OCECar TER-87581181,Ludon,StopPoint:OCECar TER-87581538,Caudéran-Mérignac,4,11:38:00,15:38:00,80.0
StopPoint:OCECar TER-87581181,Ludon,StopPoint:OCECar TER-87581710,Parempuyre,4,11:38:00,15:38:00,80.0
StopPoint:OCECar TER-87581181,Ludon,StopPoint:OCECar TER-87581728,Blanquefort,4,11:38:00,15:38:00,80.0
StopPoint:OCECar TER-87581181,Ludon,StopPoint:OCECar TER-87581736,Bruges,4,11:38:00,15:38:00,80.0
StopPoint:OCECar TER-87581181,Ludon,StopPoint:OCECar TER-87738096,Le Bouscat Sainte-Germaine,4,11:38:00,15:38:00,80.0
StopPoint:OCECar TER-87581199,Macau,StopPoint:OCECar TER-87278259,Mérignac Arlac,4,11:31:00,15:31:00,80.0
StopPoint:OCECar TER-87581199,Macau,StopPoint:OCECar TER-87581181,Ludon,4,11:31:00,15:31:00,80.0
StopPoint:OCECar TER-87581199,Macau,StopPoint:OCECar TER-87581538,Caudéran-Mérignac,4,11:31:00,15:31:00,80.0
StopPoint:OCECar TER-87581199,Macau,StopPoint:OCECar TER-87581710,Parempuyre,4,11:31:00,15:31:00,80.0
StopPoint:OCECar TER-87581199,Macau,StopPoint:OCECar TER-87581728,Blanquefort,4,11:31:00,15:31:00,80.0
StopPoint:OCECar TER-87581199,Macau,StopPoint:OCECar TER-87581736,Bruges,4,11:31:00,15:31:00,80.0
StopPoint:OCECar TER-87581199,Macau,StopPoint:OCECar TER-87738096,Le Bouscat Sainte-Germaine,4,11:31:00,15:31:00,80.0
StopPoint:OCECar TER-87581538,Caudéran-Mérignac,StopPoint:OCECar TER-87278259,Mérignac Arlac,4,12:26:00,16:26:00,80.0
StopPoint:OCECar TER-87581538,Caudéran-Mérignac,StopPoint:OCECar TER-87581181,Ludon,4,10:35:00,14:35:00,80.0
StopPoint:OCECar TER-87581538,Caudéran-Mérignac,StopPoint:OCECar TER-87581199,Macau,4,10:35:00,14:35:00,80.0
StopPoint:OCECar TER-87581538,Caudéran-Mérignac,StopPoint:OCECar TER-87581710,Parempuyre,4,10:35:00,14:35:00,80.0
StopPoint:OCECar TER-87581538,Caudéran-Mérignac,StopPoint:OCECar TER-87581728,Blanquefort,4,10:35:00,14:35:00,80.0
StopPoint:OCECar TER-87581538,Caudéran-Mérignac,StopPoint:OCECar TER-87581736,Bruges,4,10:35:00,14:35:00,80.0
StopPoint:OCECar TER-87581538,Caudéran-Mérignac,StopPoint:OCECar TER-87738096,Le Bouscat Sainte-Germaine,4,10:35:00,14:35:00,80.0
StopPoint:OCECar TER-87581595,Cenon,StopPoint:OCECar TER-87581850,Bassens,3,09:38:00,18:38:00,270.0
StopPoint:OCECar TER-87581595,Cenon,StopPoint:OCECar TER-87584052,Libourne,3,09:38:00,18:38:00,270.0
StopPoint:OCECar TER-87581710,Parempuyre,StopPoint:OCECar TER-87278259,Mérignac Arlac,4,11:46:00,15:46:00,80.0
StopPoint:OCECar TER-87581710,Parempuyre,StopPoint:OCECar TER-87581181,Ludon,4,11:14:00,15:14:00,80.0
StopPoint:OCECar TER-87581710,Parempuyre,StopPoint:OCECar TER-87581199,Macau,4,11:14:00,15:14:00,80.0
StopPoint:OCECar TER-87581710,Parempuyre,StopPoint:OCECar TER-87581538,Caudéran-Mérignac,4,11:46:00,15:46:00,80.0
StopPoint:OCECar TER-87581710,Parempuyre,StopPoint:OCECar TER-87581728,Blanquefort,4,11:46:00,15:46:00,80.0
StopPoint:OCECar TER-87581710,Parempuyre,StopPoint:OCECar TER-87581736,Bruges,4,11:46:00,15:46:00,80.0
StopPoint:OCECar TER-87581710,Parempuyre,StopPoint:OCECar TER-87738096,Le Bouscat Sainte-Germaine,4,11:46:00,15:46:00,80.0
StopPoint:OCECar TER-87581728,Blanquefort,StopPoint:OCECar TER-87278259,Mérignac Arlac,4,11:55:00,15:55:00,80.0
StopPoint:OCECar TER-87581728,Blanquefort,StopPoint:OCECar TER-87581181,Ludon,4,11:05:00,15:05:00,80.0
StopPoint:OCECar TER-87581728,Blanquefort,StopPoint:OCECar TER-87581199,Macau,4,11:05:00,15:05:00,80.0
StopPoint:OCECar TER-87581728,Blanquefort,StopPoint:OCECar TER-87581538,Caudéran-Mérignac,4,11:55:00,15:55:00,80.0
StopPoint:OCECar TER-87581728,Blanquefort,StopPoint:OCECar TER-87581710,Parempuyre,4,11:05:00,15:05:00,80.0
StopPoint:OCECar TER-87581728,Blanquefort,StopPoint:OCECar TER-87581736,Bruges,4,11:55:00,15:55:00,80.0
StopPoint:OCECar TER-87581728,Blanquefort,StopPoint:OCECar TER-87738096,Le Bouscat Sainte-Germaine,4,11:55:00,15:55:00,80.0
StopPoint:OCECar TER-87581736,Bruges,StopPoint:OCECar TER-87278259,Mérignac Arlac,4,12:05:00,16:05:00,80.0
StopPoint:OCECar TER-87581736,Bruges,StopPoint:OCECar TER-87581181,Ludon,4,10:55:00,14:55:00,80.0
StopPoint:OCECar TER-87581736,Bruges,StopPoint:OCECar TER-87581199,Macau,4,10:55:00,14:55:00,80.0
